model,reasoning_type,complexity,mean_accuracy,std_accuracy,cv,n_runs
gpt_5_mini,temporal,2,0.6333333333333333,0.11547005383792512,0.18232113763882915,3
gpt_5_mini,temporal,3,0.8333333333333334,0.1527525231651947,0.18330302779823363,3
gpt_5_mini,temporal,4,0.9,0.17320508075688776,0.1924500897298753,3
gpt_5_mini,weighted,1,0.9333333333333332,0.11547005383792512,0.12371791482634836,3
gpt_5_mini,weighted,2,0.6666666666666666,0.11547005383792519,0.17320508075688779,3
gpt_5_mini,weighted,3,0.4666666666666666,0.11547005383792512,0.24743582965269673,3
gpt_5_mini,weighted,4,0.4666666666666666,0.15275252316519466,0.3273268353539886,3
gpt_5_nano,conflicting,1,0.4333333333333333,0.15275252316519466,0.3525058226889108,3
gpt_5_nano,conflicting,2,0.3666666666666667,0.15275252316519466,0.41659779045053086,3
gpt_5_nano,conflicting,3,0.26666666666666666,0.11547005383792516,0.43301270189221935,3
gpt_5_nano,conflicting,4,0.13333333333333333,0.11547005383792516,0.8660254037844387,3
gpt_5_nano,hierarchical,1,0.6527777777777778,0.16839382851364085,0.25796501389323706,3
gpt_5_nano,hierarchical,2,0.5333333333333333,0.2516611478423584,0.471864652204422,3
gpt_5_nano,hierarchical,3,0.7333333333333334,0.05773502691896263,0.07872958216222176,3
gpt_5_nano,hierarchical,4,0.5666666666666668,0.15275252316519464,0.2695632761738728,3
gpt_5_nano,multihop,1,0.45555555555555555,0.3948745698648191,0.8667978362886274,3
gpt_5_nano,multihop,2,0.43333333333333335,0.11547005383792516,0.26646935501059654,3
gpt_5_nano,multihop,3,0.20000000000000004,0.2,0.9999999999999999,3
gpt_5_nano,multihop,4,0.3333333333333333,0.15275252316519466,0.458257569495584,3
gpt_5_nano,temporal,1,0.7111111111111111,0.23517789431685251,0.33071891388307384,3
gpt_5_nano,temporal,2,0.6333333333333333,0.20816659994661327,0.3286841051788631,3
